"Time","Outer Diameter","Inner Diameter","Temperature (oC)","Pressure 1 (mmHg)","Pressure 2 (mmHg)","Avg Pressure (mmHg)","Caliper length"
"0.004999876022338867","116.22000000000003","77.805000000000021","nan","nan","nan","nan","nan"
"0.22799992561340332","116.20700000000002","77.766000000000005","nan","nan","nan","nan","nan"
"0.500999927520752","116.20699999999999","77.753","nan","nan","nan","nan","nan"
"0.7139999866485596","116.20700000000002","77.766000000000005","nan","nan","nan","nan","nan"
"0.995999813079834","116.25900000000001","77.766000000000005","nan","nan","nan","nan","nan"
"1.2069997787475586","116.28500000000001","77.857000000000014","nan","nan","nan","nan","nan"
"1.489999771118164","116.24600000000001","77.830999999999989","nan","nan","nan","nan","nan"
"1.7169997692108154","116.24600000000001","77.623000000000019","nan","nan","nan","nan","nan"
"2.001999855041504","116.23300000000002","77.649000000000001","nan","nan","nan","nan","nan"
"2.2279999256134033","116.28500000000001","77.674999999999997","nan","nan","nan","nan","nan"
"2.502999782562256","116.298","77.714000000000013","nan","nan","nan","nan","nan"
"2.7179999351501465","116.28500000000001","77.714000000000013","nan","nan","nan","nan","nan"
"3.010999917984009","116.27200000000001","77.740000000000023","nan","nan","nan","nan","nan"
"3.2279999256134033","116.298","77.713999999999999","nan","nan","nan","nan","nan"
"3.510999917984009","116.33699999999999","77.688000000000002","nan","nan","nan","nan","nan"
"3.738999843597412","116.31099999999999","77.688000000000002","nan","nan","nan","nan","nan"
"4.005999803543091","116.28500000000001","77.700999999999993","nan","nan","nan","nan","nan"
"4.226999998092651","116.324","77.778999999999996","nan","nan","nan","nan","nan"
"4.520999908447266","116.36299999999999","77.844000000000023","nan","nan","nan","nan","nan"
"4.729999780654907","116.32399999999998","77.844000000000023","nan","nan","nan","nan","nan"
"5.004999876022339","116.31099999999999","77.792000000000002","nan","nan","nan","nan","nan"
"5.283999919891357","116.27200000000002","77.674999999999997","nan","nan","nan","nan","nan"
"5.509999990463257","116.29800000000003","77.740000000000009","nan","nan","nan","nan","nan"
"5.788999795913696","116.31099999999999","77.870000000000019","nan","nan","nan","nan","nan"
"6.003999948501587","116.33699999999999","77.779000000000011","nan","nan","nan","nan","nan"
"6.286999940872192","116.31100000000001","77.700999999999993","nan","nan","nan","nan","nan"
"6.49399995803833","116.298","77.623000000000005","nan","nan","nan","nan","nan"
"6.773000001907349","116.31100000000001","77.635999999999996","nan","nan","nan","nan","nan"
"6.99399995803833","116.33700000000002","77.727000000000004","nan","nan","nan","nan","nan"
"7.273999929428101","116.32400000000003","77.674999999999997","nan","nan","nan","nan","nan"
"7.556999921798706","113.45099999999999","83.147999999999996","nan","nan","nan","nan","nan"
"7.768999814987183","113.43799999999999","83.122","nan","nan","nan","nan","nan"
"8.046000003814697","113.477","83.122","nan","nan","nan","nan","nan"
