"Time (s)","Label","Diameter","P1","P2","max_percent"
"119.8","20 mmHg","131.079","-","87.945","nan","nan","nan"
"1644.7","60 mmHg","122.447","-","72.241","nan","nan","nan"
"3116.0","10 nM U46619","127.01684210526317","-","77.06947368421054","nan","nan","nan"
"3359.8","+ 1 uM CCh","101.90700000000001","-","52.07800000000001","nan","nan","nan"
"3682.9","Wash","137.72199999999998","-","91.35100000000001","nan","nan","nan"
"4530.5","10 nM U46619","139.464","-","93.97700000000002","nan","nan","nan"
"4755.2","+ 10 uM Histamine","113.68842105263157","-","53.44444444444444","nan","nan","nan"
"5140.2","Wash","138.48899999999998","-","91.66300000000001","nan","nan","nan"
"6022.0","10 nM U46619","139.906","-","96.05699999999999","nan","nan","nan"
"6320.2","1 mM 8-bromo-cAMP","120.055","-","50.31866666666667","nan","nan","nan"
"6674.5","+ 1 mM 8-bromo-cAMP","127.67300000000003","-","76.986","nan","nan","nan"
"7178.4","Wash","136.16199999999998","-","90.376","nan","nan","nan"
"7976.9","10 nM U46619","141.54400000000004","-","96.07","nan","nan","nan"
"8414.2","+ 1 uM H89","114.62533333333336","-","51.83454545454545","nan","nan","nan"
"11284.5","+ 2 mM 8BcAMP","113.65900000000002","-","65.23400000000001","nan","nan","nan"
"11640.6","Wash","122.48599999999999","-","73.775","nan","nan","nan"
"12998.3","10 nM U46619","137.501","-","94.38000000000002","nan","nan","nan"
"14092.0","+ 1 uM H89","113.37300000000002","-","61.52900000000001","nan","nan","nan"
"15904.8","+ 10 uM Histamine","115.375","-","70.187","nan","nan","nan"
"16222.3","1 mM EGTA + Heat Off + Ca2+ Free PSS","128.492","-","87.34700000000001","nan","nan","nan"
