#,Time,Frame,Label,OD,%OD ref,ID,Caliper,Pavg,P1,P2,Temp
1,00:10:00,313,20 mmHg,172.97799999999998,nan,130.52,0.0,,,,
2,00:20:08,616,40 mmHg,141.986,nan,97.24000000000001,0.0,,,,
3,00:29:27,895,60 mmHg,174.51199999999997,nan,131.664,0.0,,,,
4,00:37:43,1142,80 mmHg,187.33,nan,144.76799999999997,0.0,,,,
