Time (s),Time (hh:mm:ss),Outer Diameter,Inner Diameter,Table Marker,Temperature (oC),Pressure 1 (mmHg),Pressure 2 (mmHg),Avg Pressure (mmHg),Set Pressure (mmHg),Caliper length,Outer Profiles,Inner Profiles,Outer Profiles Valid,Inner Profiles Valid
20.1,00:00:20,172.24999999999997,129.714,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.96, 169.52, 171.08, 171.6, 171.08, 172.64000000000001, 173.16, 172.64000000000001, 171.6, 176.28, 172.64000000000001, 174.72, 173.16, 173.16, 171.08, 172.64000000000001, 174.20000000000002, 174.20000000000002, 173.16","127.4, 126.88000000000001, 129.48000000000002, 130.52, 131.04, 129.48000000000002, 129.48000000000002, 130.52, 130.0, 129.48000000000002, 128.44, 128.96, 127.92, 133.12, 131.56, 126.88000000000001, 131.56, 129.48000000000002, 132.6, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
22.1,00:00:22,172.27599999999995,129.76600000000002,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.96, 169.52, 171.08, 171.6, 171.08, 172.64000000000001, 173.16, 172.64000000000001, 171.6, 176.28, 173.16, 174.72, 173.16, 173.16, 171.08, 172.64000000000001, 174.20000000000002, 174.20000000000002, 173.16","127.4, 126.88000000000001, 130.0, 131.04, 131.04, 129.48000000000002, 129.48000000000002, 130.52, 129.48000000000002, 129.48000000000002, 127.92, 128.96, 128.44, 133.12, 131.56, 126.88000000000001, 131.56, 129.48000000000002, 133.12, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
24.1,00:00:24,172.27599999999998,129.73999999999998,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.96, 169.52, 171.08, 172.12, 171.08, 172.64000000000001, 173.16, 172.12, 172.12, 176.28, 173.16, 174.20000000000002, 173.16, 173.16, 171.6, 172.64000000000001, 174.20000000000002, 174.20000000000002, 172.64000000000001","127.4, 126.88000000000001, 129.48000000000002, 131.04, 131.04, 129.48000000000002, 128.96, 130.52, 130.0, 129.48000000000002, 127.92, 128.96, 128.44, 132.6, 131.56, 127.4, 131.56, 130.0, 132.6, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
26.1,00:00:26,172.17199999999997,129.818,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.52, 171.08, 171.6, 171.6, 172.12, 173.68, 172.12, 171.6, 176.28, 173.16, 174.72, 172.64000000000001, 173.16, 171.08, 172.12, 174.20000000000002, 173.68, 173.16","127.92, 126.88000000000001, 129.48000000000002, 131.04, 131.04, 128.96, 129.48000000000002, 131.04, 129.48000000000002, 129.48000000000002, 128.44, 128.96, 127.92, 133.12, 132.08, 127.4, 131.56, 130.0, 132.6, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
28.1,00:00:28,172.30199999999996,129.766,0,0.0,nan,nan,nan,0,0.0,"169.0, 167.96, 169.52, 171.08, 171.6, 171.08, 172.64000000000001, 173.16, 172.12, 172.12, 176.28, 173.16, 174.20000000000002, 173.16, 173.16, 171.6, 172.64000000000001, 174.20000000000002, 174.20000000000002, 173.16","127.4, 126.88000000000001, 129.48000000000002, 130.52, 131.04, 129.48000000000002, 129.48000000000002, 130.52, 130.0, 129.48000000000002, 128.44, 128.96, 128.44, 133.12, 131.56, 127.4, 131.56, 129.48000000000002, 132.6, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
30.1,00:00:30,172.224,129.76600000000002,0,0.0,nan,nan,nan,0,0.0,"169.0, 167.96, 169.52, 170.56, 171.6, 171.6, 172.12, 173.16, 172.12, 171.6, 176.28, 173.16, 174.72, 173.16, 173.16, 171.08, 172.12, 174.20000000000002, 174.20000000000002, 173.16","127.92, 127.4, 129.48000000000002, 131.04, 130.52, 128.96, 129.48000000000002, 131.04, 129.48000000000002, 129.48000000000002, 127.92, 128.96, 127.92, 133.12, 131.56, 127.4, 131.56, 130.0, 132.6, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
32.1,00:00:32,172.11999999999995,129.766,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.52, 171.08, 171.6, 171.08, 171.6, 173.16, 171.6, 171.6, 176.28, 173.16, 174.72, 172.64000000000001, 172.64000000000001, 171.6, 172.64000000000001, 174.20000000000002, 174.20000000000002, 173.16","127.4, 126.88000000000001, 130.0, 131.04, 131.04, 128.96, 129.48000000000002, 131.04, 130.0, 128.96, 128.44, 128.96, 127.92, 133.12, 131.56, 127.4, 131.56, 130.0, 132.08, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
34.1,00:00:34,172.06799999999996,129.68800000000002,0,0.0,nan,nan,nan,0,0.0,"169.0, 167.44, 169.52, 170.56, 171.6, 171.6, 171.6, 172.64000000000001, 172.12, 171.6, 176.28, 172.64000000000001, 174.20000000000002, 173.16, 173.16, 171.08, 172.12, 173.68, 174.20000000000002, 173.16","127.4, 126.88000000000001, 129.48000000000002, 130.52, 130.52, 128.96, 129.48000000000002, 131.04, 130.0, 129.48000000000002, 128.44, 128.96, 127.92, 133.12, 131.56, 126.88000000000001, 131.56, 130.0, 132.6, 128.96","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
36.1,00:00:36,172.04199999999997,129.688,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.52, 171.08, 171.6, 171.08, 171.6, 173.16, 171.6, 171.6, 176.28, 173.16, 174.20000000000002, 172.64000000000001, 173.16, 171.08, 172.12, 173.68, 173.68, 173.68","127.92, 126.88000000000001, 130.0, 131.04, 131.04, 128.44, 129.48000000000002, 131.04, 129.48000000000002, 129.48000000000002, 128.44, 128.96, 127.92, 132.6, 131.56, 126.88000000000001, 131.04, 130.0, 132.08, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
38.1,00:00:38,171.96399999999997,129.60999999999999,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.52, 171.08, 171.6, 171.08, 171.6, 172.64000000000001, 171.6, 171.6, 176.28, 172.64000000000001, 174.72, 172.64000000000001, 172.64000000000001, 171.08, 171.6, 173.68, 174.20000000000002, 173.16","127.92, 126.88000000000001, 129.48000000000002, 130.52, 130.52, 128.44, 129.48000000000002, 130.52, 130.0, 129.48000000000002, 128.44, 128.96, 128.44, 132.6, 131.56, 126.88000000000001, 131.56, 129.48000000000002, 132.08, 128.96","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
